aDPS,rDPS,nDPS,Class
11110.81367,11534.97555,10656.47806,DRG
11595.32047,11533.33296,10876.56441,MNK
11182.30281,11531.34838,10755.15768,MNK
11047.62284,11530.03963,10668.48263,DRG
11386.63635,11527.26374,10893.29742,MNK
11191.42021,11523.34599,10694.66928,NIN
11823.06297,11521.85187,11010.72307,RPR
11064.34873,11521.45424,10683.89967,DRG
11315.84813,11520.25704,10900.95775,MNK
11423.78656,11519.291,10919.38627,MNK
11857.48417,11515.92611,10903.83482,MNK
11554.20001,11515.80016,10853.69297,MNK
11408.58033,11515.7854,10472.61812,DRG
11267.2789,11515.07227,10699.12491,NIN
11266.07899,11502.19217,10629.73819,DRG
11460.70066,11500.5758,10739.088,NIN
11666.68166,11495.36335,10821.77858,MNK
11750.48527,11495.03738,10854.98893,MNK
11218.84756,11493.53987,10642.64407,NIN
11342.50632,11491.44644,10817.69108,MNK
11351.22211,11488.74903,10519.72902,DRG
11352.25795,11488.64649,10805.71733,MNK
11284.91906,11488.20911,10835.56394,MNK
11023.72219,11487.54972,10855.3135,MNK
11284.69253,11485.6764,10632.73126,DRG
11071.9022,11484.79877,10648.56625,DRG
10981.77532,11483.36662,10675.66351,NIN
11239.30767,11482.04973,10626.32509,DRG
11178.95954,11480.60181,10526.47517,DRG
11747.42014,11479.20061,10642.23083,NIN
11098.81944,11476.08143,10892.13199,MNK
11551.39168,11475.32637,10717.94914,NIN
10881.54345,11474.93346,10483.89488,DRG
11164.1238,11472.72952,10523.6215,DRG
11139.33185,11470.91765,10522.94929,DRG
11272.75467,11470.65455,10671.15554,NIN
11542.98701,11470.56057,10828.4566,MNK
11362.17426,11467.07659,10595.85868,NIN
12000.95009,11466.815,11466.815,SAM
11077.56493,11460.4381,10514.81269,DRG
11572.50127,11460.3426,10824.13707,MNK
11343.47519,11459.07533,10816.25901,MNK
11512.16728,11456.39585,10679.09473,MNK
11543.20711,11454.11642,10803.24514,MNK
10781.12998,11453.40571,10511.61433,DRG
11341.3437,11449.36276,10832.6348,MNK
10984.61064,11449.23571,10569.46795,DRG
11340.02775,11447.48593,11030.31595,RPR
11025.21364,11447.4058,10420.43416,DRG
11595.9517,11444.5254,10539.63851,DRG
10919.19279,11444.08015,10558.91939,DRG
11170.40733,11442.09565,10571.8113,NIN
11332.14561,11441.98978,10654.759,DRG
11169.54189,11440.43896,10617.53714,DRG
11646.61307,11440.35836,10536.45374,NIN
11788.42793,11435.63155,10788.67054,MNK
11026.86831,11434.39701,10565.21173,DRG
11012.60406,11425.04271,10526.04729,NIN
11239.22049,11423.55007,10796.81999,MNK
11614.50717,11422.80847,10577.83267,NIN
10876.08295,11422.56702,10535.45413,DRG
11629.97292,11421.96434,10640.64124,NIN
11663.51684,11421.69566,10852.24365,MNK
11443.50639,11420.70224,10488.31451,NIN
10875.88394,11420.23204,10580.98579,DRG
10804.9785,11419.40471,10675.677,NIN
11152.23098,11419.21692,10829.81798,MNK
11467.22025,11417.38999,10802.09961,MNK
11264.12682,11416.86263,10590.80138,NIN
12144.97767,11416.14114,11416.14114,SAM
11174.14891,11415.04296,10603.49326,NIN
10776.52768,11414.70796,10474.31876,DRG
11265.16729,11413.71797,10815.31802,MNK
11267.49564,11410.83689,10583.66171,NIN
10863.97691,11410.80963,10743.06307,MNK
10900.90753,11408.43517,10437.22846,DRG
11209.16468,11404.7826,10543.11398,DRG
11037.64783,11403.47686,10407.29205,DRG
11881.23804,11403.25591,11403.25591,SAM
10786.15838,11402.60128,10638.18269,NIN
10931.54551,11397.26219,10531.26446,DRG
11187.38106,11396.6733,10753.52398,MNK
12543.61611,11395.89935,11395.89935,SAM
11451.62366,11395.08132,10701.86258,MNK
12601.23425,11394.68741,11394.68741,SAM
11197.70791,11394.48195,10506.58339,NIN
11073.5397,11392.71108,10611.11333,NIN
11106.87053,11392.24454,10462.76363,DRG
11160.45454,11391.70057,10544.93603,DRG
12314.48881,11390.82568,11390.82568,SAM
11147.98449,11390.81281,10577.55344,NIN
11336.98656,11390.73054,10470.51406,DRG
11506.88894,11390.03185,10561.96965,NIN
11212.10381,11389.82612,10734.54606,MNK
